title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,FIND BRAND,VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,$14.99,"Discover Vanilla Almond Custard by The Finest E-Liquid, from the Creme De La Creme Collection, featuring vanilla, toasted almonds, and smooth custard.
The Finest E-Liquid - Vanilla Almond Custard Features:
2 x 60mL Unicorn Bottle
Child Resistant Cap
70% VG
30% PG
Made in USA
Available nicotine: 0mg, 3mg, 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,,,,,https://www.elementvape.com/vanilla-almond-custard-finest
STRAWBERRY MILK - MOO SALTS - 30ML,FIND BRAND,STRAWBERRY MILK - MOO SALTS - 30ML,$10.99,"Shop the Strawberry Milk by Moo Salts, a nicotine salt blend of delicious sweet strawberries coupled with refreshing milk to add a creamy dimension.
STRAWBERRY MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-milk-moo-salts
VANILLA ALMOND MILK - MOO SALTS - 30ML,FIND BRAND,VANILLA ALMOND MILK - MOO SALTS - 30ML,$10.99,"Dive into a bottle of Vanilla Almond Milk by Moo Salts, a nicotine salt blend of smooth creamy almond milk that tantalizes the taste buds with nutty flavor.
VANILLA ALMOND MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/vanilla-almond-milk-moo-salts
COFFEE MILK - MOO SALTS - 30ML,FIND BRAND,COFFEE MILK - MOO SALTS - 30ML,$10.99,"Check out Coffee Milk by Moo Salts, captivating the tongue and taste buds with notes of bold coffee coupled with a splash of refreshingly creamy milk.
COFFEE MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/coffee-milk-moo-salts
CARAMEL PEAR - HI-DRIP - 100ML,HI-DRIP,CARAMEL PEAR - HI-DRIP - 100ML,$13.99,"Discover Caramel Pear by Hi-Drip E-Liquids, featuring notes of crisp baked pears enhanced with the gooey deliciousness of warm caramel to create a decadent vape.
CARAMEL PEAR - HI-DRIP E-LIQUIDS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/caramel-pear-hi-drip
BUTTER MINTS - HI-DRIP - 100ML,HI-DRIP,BUTTER MINTS - HI-DRIP - 100ML,$13.99,"Check out Butter Mints by Hi-Drip E-Liquids, captivating the taste buds with deliciously creamy butter infused with sharp notes of peppermint oil.
BUTTER MINTS - HI-DRIP E-LIQUIDS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/butter-mints-hi-drip
RED VELVET - THE PANCAKE HOUSE - GOST VAPOR - 100ML,FIND BRAND,RED VELVET - THE PANCAKE HOUSE - GOST VAPOR - 100ML,$12.99,"Shop Red Velvet by The Pancake House, featuring a tasty creation mimicking fluffy red velvet pancakes topped with a dollop of sweet cream cheese frosting.
RED VELVET - THE PANCAKE HOUSE - GOST VAPOR - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/red-velvet-gost-vapor
STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML,FIND BRAND,STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML,$12.99,"Shop Strawnana by The Pancake House, capturing the flavor of sweet sliced strawberries and ripened bananas topped over a stack of fluffy pancakes.
STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawnana-gost-vapor
RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Check out Raspberry Granola Bar by Yogi Salts, capturing the flavor of raspberries sprinkled throughout a crunchy granola bar inside a nicotine salt blend.
RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/raspberry-granola-bar-yogi-salts
RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop Raspberry Granola Bar by Yogi E-Liquid, featuring notes of vibrant raspberries jam-packed into a crispy crunchy granola bar made with oats.
RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/raspberry-granola-bar-yogi
CITRUS GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,CITRUS GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Check out Citrus Granola Bar by Yogi Salts, a nicotine salt blend of aromatic citrus fruits served on a crunchy granola bar to captivate the senses.
CITRUS GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/citrus-granola-bar-yogi-salts
CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop Citrus Granola Bar by Yogi, captivating the taste buds with citrus fruits baked into a granola bar that entices the taste buds with delicious flavor.
CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/citrus-granola-bar-yogi
GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Discover the Grape Jam Granola Bar by Yogi Salts, mixing notes of grape jam smeared on a crunchy granola bar in a flavorful nicotine salt infusion.
GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/grape-jam-granola-bar-yogi-salts
GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Check out Grape Jam Granola Bar by Yogi, taking an artisanal grape jam mixed into a granola bar that will leave the taste buds wanting more.
GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,//www.elementvape.com/grape-jam-granola-bar-yogi
PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Shop Peach Cobbler Granola Bar by Yogi Salts, featuring fresh peaches, crunchy topping, and a deliciously baked crust that will appeal to the tongue.
PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/peach-cobbler-granola-bar-yogi-salts
PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Discover Peach Cobbler Granola Bar by Yogi, mixing together a decadent peach cobbler packed into a granola bar base that will excite the taste buds.
PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/peach-cobbler-granola-bar-yogi
